clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Land use change,2,Land use and land cover change,Driver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Management Practices,3,Management/restoration,Driver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Climate,1,Climate,Driver,Environmental,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Land use change,2,Land use and land cover change,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Management Practices,3,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019
Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Campbell,ECOLOGICAL MODELLING,2016
Land use change,2,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Campbell,ECOLOGICAL MODELLING,2016
Management Practices,3,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Campbell,ECOLOGICAL MODELLING,2016
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,Food,Food and feed,Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
Extreme Events,1,Extreme events,Driver,Environmental,Environmental,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
windthrow event,1,Extreme events,OtherDriver,Environmental,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017
Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Shadow conservation and the persistence of sacred church forests in northern Ethiopia,Cardelus,BIOTROPICA,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017
Management Practices,2,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Carson,ECOSPHERE,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Carson,ECOSPHERE,2018
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015
Land use change,2,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015
Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015
Land use change,2,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015
Climate,1,Climate,Driver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
Climate,1,Climate,Driver,Environmental,Environmental,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
Extreme Events,2,Extreme events,Driver,Environmental,Environmental,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018
